,track,id,playlist,artistName,msPlayed,image_url,ranking
71,Afterglow,0E4Y1XIbs8GrAT1YqVy6dq,JP,Ed Sheeran,1960171.0,//i.imgur.com/f7hntd5b.jpg,40.0
834,Toralla,4rhHAWgMR5UbQuvEQHs8qH,JP,Manu Llovo,5435011.0,//i.imgur.com/Obl4TbDb.jpg,56.0
878,Stick Season,0GNVXNz7Jkicfk2mp5OyG5,JP,Noah Kahan,7148024.0,//i.imgur.com/ZsUyTTOb.jpg,22.0
1111,Volveré a Empezar,2KDNePHNaahkf8okcATp51,JP,Stay Homas,7643817.0,//i.imgur.com/6PvRL5hb.jpg,6.0
1112,Qué Bien,3iaj0MtII6VPVhwQa4eeX3,JP,IZAL,12117560.0,//i.imgur.com/CoiUM1Wb.jpg,4.0
1124,Sixtinain,4LapKFie8D1oWuowtLLXUu,JP,Guitarricadelafuente,5870206.0,//i.imgur.com/yuNpz4vb.jpg,17.0
1129,Aquellos Años Locos (Bonus Track),2zQPi1daDcELSMkpDGwHsn,para cantar,El Canto Del Loco,2403255.0,//i.imgur.com/qMntJKjb.jpg,53.0
1145,Desaparece,11c4nID11cj01SsG86RpNR,para cantar,El Canto Del Loco,3635969.0,//i.imgur.com/saB4khPb.jpg,13.0
1146,Moguín,1BnIr9vXs7ftYBZcloaItN,para cantar,Jaguayano,9514515.0,//i.imgur.com/9w5tVvEb.jpg,36.0
1147,Vive,5ZkGqwsCIujcrccIU3K0ol,para cantar,Likindoy,5714861.0,//i.imgur.com/yrKiXUcb.jpg,44.0
1151,Es Por Ti,1rR8q4vfEyvMJDSv0dJDfr,para cantar,Club 28,4961901.0,//i.imgur.com/tbLWgEWb.jpg,33.0
1154,PRMVR,78CVgSm8s9pfpwCqvqzEYB,para cantar,La Maravillosa Orquesta del Alcohol,2553014.0,//i.imgur.com/phvO5WUb.jpg,26.0
1160,El Principio de algo,55oRR1s2W1xX2evrUCaOSb,para cantar,La La Love You,2772127.0,//i.imgur.com/m3kZUqQb.jpg,3.0
1161,Tu Primera Fila,7ioc8jD1x4NDgx6v49kGiN,para cantar,Comandante Twin,1190981.0,//i.imgur.com/qRi7A1hb.jpg,57.0
1210,What Else Can I Do?,3XoYqtiWHhsk59frZupImG,,Diane Guerrero,1192524.0,//i.imgur.com/f8vrjZjb.jpg,23.0
1548,Guantanamera,5QAya5bSSiKlh1h4qeeq38,JP,Guitarricadelafuente,3372909.0,//i.imgur.com/AHOrKVLb.jpg,59.0
1550,Vacío,7JK2tn5VBd1I8hlZ8bYSeU,JP,Inazio,2254657.0,//i.imgur.com/jbemI6gb.jpg,35.0
1565,Hay un Fuego,4jDnHToLAvPlAPB9aiMx3z,JP,La Maravillosa Orquesta del Alcohol,2988658.0,//i.imgur.com/DgLOXk6b.jpg,24.0
1598,Come Away (Unplugged),06qWAkT0jP7Tw0uaykZx2F,JP,Sons Of The East,5248698.0,//i.imgur.com/1Ss1e6Ib.jpg,7.0
1621,Open Road - EP Version,4xIEGm9vCYmdrz4tLWczM4,JP,Roo Panes,5874837.0,//i.imgur.com/mfUtphSb.jpg,39.0
1622,Rutas Salvajes,2BTRX91dZwz7jeSZnkuk3T,JP,Inazio,3930235.0,//i.imgur.com/TFk3roOb.jpg,14.0
1628,ABC,5BAHP1SSe7fdFsWTu9yoiU,JP,Guitarricadelafuente,4479680.0,//i.imgur.com/pbhoSrGb.jpg,30.0
1635,Tell Me If You Wanna Go Home,0nrXQ2iKJFnPQYXZHKky9u,JP,Keira Knightley,3059311.0,//i.imgur.com/ggIkjpFb.jpg,48.0
1646,Little Lion Man,2KrN3MCNztKcSleZgHEj83,JP,Mumford & Sons,5963694.0,//i.imgur.com/Rl5yhyGb.jpg,27.0
1648,Algo que ya (feat. Funambulista),0QUbM7Nhjzk0A4HodtUJwp,JP,Tu Otra Bonita,11023367.0,//i.imgur.com/zjF7tP0b.jpg,9.0
1650,Forever My Love,6TYuTMfBTU4hpXrhLsjIiV,JP,J Balvin,6706076.0,//i.imgur.com/dbzmMgWb.jpg,31.0
1671,Galicia - En Directo en acústico,6YT1amT59hvbSyGfEIJMoX,JP,Yoly Saa,7652816.0,//i.imgur.com/PWCoLSxb.jpg,51.0
1684,Para Mi Eres Verano,3QqQMMEOGTRkeyfVpBIStB,JP,Balanceo,1209542.0,//i.imgur.com/HkziDzMb.jpg,38.0
1689,Feels So Easy,53m2qiG26iGnHb3ygFFDp2,JP,Ber,1171471.0,//i.imgur.com/xp00CkTb.jpg,16.0
1902,A Way of Life,6DHYWelHYuynVVPv2m58wl,OST,Hans Zimmer,19292415.0,//i.imgur.com/GBHUc71b.jpg,5.0
1903,Tessa,2MaUwANhrU6KF8AK71ezsX,OST,Steve Jablonsky,7297155.0,//i.imgur.com/0pBLUWWb.jpg,49.0
1910,"The Breaking of the Fellowship (feat. ""In Dreams"")",1ykbtFnlIjmIFnZ8j6wg6i,OST,Howard Shore,9086238.0,//i.imgur.com/QO5JHrNb.jpg,10.0
1921,Katawaredoki,4WedBZTeFawYCBCgfj36iK,OST,RADWIMPS,9488460.0,//i.imgur.com/WFxrwnDb.jpg,18.0
1926,From Me to You,34OP5ugxs1t3RaiJlyqJRb,OST,Yuki Hayashi,1717498.0,//i.imgur.com/Rw9d4Ulb.jpg,54.0
1929,Sherwood Forest,51zjgYMqhtxjYckGppYoce,OST,Marc Streitenfeld,2879592.0,//i.imgur.com/uUOKbVTb.jpg,58.0
1933,上,5N5iImDfoQ4IF3YvXBpxPX,OST,Yuki Hayashi,5307232.0,//i.imgur.com/vywOTd8b.jpg,12.0
1934,『欲』,69ImxLhTWjSRBl2nGspu9C,OST,Yuki Hayashi,9046432.0,//i.imgur.com/LV75Hdgb.jpg,1.0
1940,Okinawa Battlefield,4TyMkWzFaZIYH52DpBuISz,OST,Rupert Gregson-Williams,4215528.0,//i.imgur.com/IHr1O5Vb.jpg,28.0
1946,ハーケン,7HBkUALQjiFyE4PI80HLgJ,OST,Yuki Hayashi,6201392.0,//i.imgur.com/whASLE9b.jpg,2.0
1947,Fairy Tail Main Theme - Slow ver.,1ADsAp80fs3TVEkRnqfJje,OST,Yasuharu Takanashi,2561852.0,//i.imgur.com/QsJLFbRb.jpg,45.0
